         95306454 function calls (94215933 primitive calls) in 465.635 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   893118  125.638    0.000  125.638    0.000 {method 'union' of 'frozenset' objects}
  1535164   47.776    0.000   55.343    0.000 dictionary_jacobian.py:63(_apply)
   429596   44.482    0.000   44.606    0.000 default_vector.py:408(_scale_forward)
127181/718   43.903    0.000  371.810    0.518 linear_block_gs.py:75(_single_iteration)
   429596   43.870    0.000   43.949    0.000 default_vector.py:424(_scale_reverse)
    816/1   28.974    0.036   30.277   30.277 group.py:2031(_setup_global_connections)
  2705847   23.083    0.000   23.083    0.000 default_vector.py:353(set_val)
127181/718   15.500    0.000  373.529    0.520 linear_runonce.py:21(solve)
   127181   11.343    0.000   11.382    0.000 solver.py:1101(_update_rhs_vec)
   530511    6.383    0.000   13.384    0.000 default_transfer.py:247(_transfer)
   234689    3.904    0.000    3.904    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
    28800    3.659    0.000   64.813    0.002 {method 'solve' of 'petsc4py.PETSc.KSP' objects}
  3070328    3.390    0.000    5.954    0.000 system.py:2535(_matvec_context)
     9254    2.958    0.000    2.958    0.000 {method 'scatter' of 'petsc4py.PETSc.Scatter' objects}
  1414596    2.888    0.000   64.318    0.000 explicitcomponent.py:364(_apply_linear)
294710/58942    2.798    0.000   74.265    0.001 group.py:3260(_apply_linear)
   140501    2.733    0.000    2.733    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
  7657960    2.104    0.000    2.104    0.000 vector.py:371(_abs_get_val)
  2726500    1.833    0.000    2.160    0.000 contextlib.py:104(__init__)
   171089    1.777    0.000    1.777    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   819760    1.705    0.000   83.814    0.000 group.py:2665(_transfer)
   621040    1.504    0.000    1.714    0.000 default_vector.py:307(__imul__)
       70    1.464    0.021    1.464    0.021 {method 'allgather' of 'mpi4py.MPI.Comm' objects}
       25    1.457    0.058    5.329    0.213 pseudospectral_timeseries_output_comp.py:98(_add_output_configure)
    72967    1.454    0.000    1.454    0.000 {method 'copy' of 'numpy.ndarray' objects}
  2726500    1.411    0.000   15.107    0.000 contextlib.py:141(__exit__)
  4506970    1.381    0.000    1.680    0.000 group.py:4363(_solver_subsystem_iter)
  5453769    1.320    0.000   31.972    0.000 {built-in method builtins.next}
  2726500    1.187    0.000    3.347    0.000 contextlib.py:284(helper)
    43202    1.072    0.000    2.365    0.000 numeric.py:1468(cross)
  2726500    0.885    0.000   19.162    0.000 contextlib.py:132(__enter__)
  1206849    0.883    0.000    0.883    0.000 {method 'dot' of 'numpy.ndarray' objects}
    23928    0.854    0.000    0.897    0.000 default_vector.py:188(_initialize_views)
    57683    0.851    0.000    0.917    0.000 {method 'createWithArray' of 'petsc4py.PETSc.Vec' objects}
   327862    0.847    0.000    0.933    0.000 default_vector.py:265(__iadd__)
    30142    0.831    0.000   57.326    0.002 petsc_ksp.py:265(mult)
  2294120    0.745    0.000    1.204    0.000 system.py:2474(_unscaled_context)
       38    0.730    0.019    0.769    0.020 system.py:3749(get_io_metadata)
  2437426    0.726    0.000    0.726    0.000 {method 'intersection' of 'frozenset' objects}
        1    0.707    0.707    0.707    0.707 {method 'gather' of 'mpi4py.MPI.Comm' objects}
    16800    0.695    0.000    5.343    0.000 eval_mtx.py:14(_compute_finite_vortex)
  2862152    0.676    0.000    1.987    0.000 default_vector.py:440(asarray)
    45762    0.584    0.000    3.044    0.000 vector_algebra.py:92(compute_norm)
      161    0.540    0.003    0.541    0.003 {method 'bcast' of 'mpi4py.MPI.Comm' objects}
      816    0.522    0.001    0.523    0.001 group.py:2000(_compute_owning_ranks)
      818    0.479    0.001    1.422    0.002 group.py:1605(_setup_var_data)
   481445    0.458    0.000    0.870    0.000 group.py:320(_get_matvec_scope)
   902606    0.437    0.000  126.075    0.000 solver.py:1124(_vars_union)
  1402698    0.412    0.000    0.412    0.000 group.py:365(<genexpr>)
     8536    0.408    0.000    3.361    0.000 petsc_transfer.py:224(_transfer)
        1    0.391    0.391    1.858    1.858 group.py:786(get_relevant_vars)
   524449    0.377    0.000    0.859    0.000 {method 'update' of 'set' objects}
2387699/2385205    0.363    0.000    0.467    0.000 {built-in method builtins.len}
  2990665    0.361    0.000    0.367    0.000 {built-in method builtins.getattr}
   259240    0.351    0.000    0.497    0.000 numeric.py:1330(normalize_axis_tuple)
   129612    0.330    0.000    0.978    0.000 numeric.py:1393(moveaxis)
     3360    0.327    0.000    6.522    0.002 eval_mtx.py:304(compute)
   429596    0.325    0.000   44.932    0.000 default_vector.py:368(scale_to_norm)
  1099762    0.313    0.000    0.314    0.000 dictionary_jacobian.py:33(_iter_abs_keys)
      818    0.302    0.000    0.512    0.001 group.py:1915(_find_vars_to_gather)
  2799603    0.296    0.000    0.318    0.000 {built-in method builtins.isinstance}
   429596    0.293    0.000   44.242    0.000 default_vector.py:388(scale_to_phys)
