         33633124 function calls (33346639 primitive calls) in 300.741 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   236382   62.441    0.000   62.441    0.000 {method 'union' of 'frozenset' objects}
   112616   40.040    0.000   40.070    0.000 default_vector.py:424(_scale_reverse)
   112616   36.860    0.000   36.906    0.000 default_vector.py:408(_scale_forward)
    216/1   31.286    0.145   32.063   32.063 group.py:2031(_setup_global_connections)
35371/718   23.402    0.001  212.439    0.296 linear_block_gs.py:75(_single_iteration)
   385956   20.625    0.000   23.206    0.000 dictionary_jacobian.py:63(_apply)
   685147   16.844    0.000   16.844    0.000 default_vector.py:353(set_val)
    35371   10.966    0.000   10.984    0.000 solver.py:1101(_update_rhs_vec)
     9254    8.741    0.001    8.741    0.001 {method 'scatter' of 'petsc4py.PETSc.Scatter' objects}
35371/718    7.297    0.000  214.292    0.298 linear_runonce.py:21(solve)
   234689    4.277    0.000    4.277    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
       25    3.713    0.149    7.972    0.319 pseudospectral_timeseries_output_comp.py:98(_add_output_configure)
   130859    2.388    0.000    4.636    0.000 default_transfer.py:247(_transfer)
     7200    1.517    0.000   24.956    0.003 {method 'solve' of 'petsc4py.PETSc.KSP' objects}
       70    1.267    0.018    1.268    0.018 {method 'allgather' of 'mpi4py.MPI.Comm' objects}
      216    1.260    0.006    1.261    0.006 group.py:2000(_compute_owning_ranks)
73300/14660    1.254    0.000   28.573    0.002 group.py:3260(_apply_linear)
   771912    1.083    0.000    2.186    0.000 system.py:2535(_matvec_context)
       38    1.057    0.028    1.147    0.030 system.py:3749(get_io_metadata)
   356116    1.029    0.000   26.434    0.000 explicitcomponent.py:364(_apply_linear)
    35141    0.852    0.000    0.852    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
   254676    0.832    0.000   65.762    0.000 group.py:2665(_transfer)
      161    0.801    0.005    0.801    0.005 {method 'bcast' of 'mpi4py.MPI.Comm' objects}
  2229428    0.787    0.000    0.787    0.000 vector.py:371(_abs_get_val)
    18907    0.678    0.000    0.678    0.000 {method 'copy' of 'numpy.ndarray' objects}
   685900    0.649    0.000    0.752    0.000 contextlib.py:104(__init__)
   162912    0.605    0.000    0.686    0.000 default_vector.py:307(__imul__)
  1181698    0.598    0.000    0.756    0.000 group.py:4363(_solver_subsystem_iter)
        1    0.576    0.576    8.549    8.549 transcription_base.py:417(configure_timeseries_outputs)
    53751    0.493    0.000    0.493    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.453    0.453    2.242    2.242 group.py:786(get_relevant_vars)
   685900    0.438    0.000   14.263    0.000 contextlib.py:141(__exit__)
    85716    0.426    0.000    0.464    0.000 default_vector.py:265(__iadd__)
   454195    0.417    0.000    0.908    0.000 {method 'update' of 'set' objects}
    14483    0.412    0.000    0.448    0.000 {method 'createWithArray' of 'petsc4py.PETSc.Vec' objects}
     8536    0.412    0.000    9.142    0.001 petsc_transfer.py:224(_transfer)
   685900    0.389    0.000    1.140    0.000 contextlib.py:284(helper)
  1371880    0.387    0.000   29.033    0.000 {built-in method builtins.next}
     7460    0.378    0.000   22.316    0.003 petsc_ksp.py:265(mult)
   615272    0.331    0.000    0.331    0.000 {method 'intersection' of 'frozenset' objects}
    10802    0.330    0.000    0.682    0.000 numeric.py:1468(cross)
     6288    0.325    0.000    0.340    0.000 default_vector.py:188(_initialize_views)
      218    0.318    0.001    0.565    0.003 group.py:1915(_find_vars_to_gather)
   302525    0.315    0.000    0.315    0.000 {method 'dot' of 'numpy.ndarray' objects}
  1078412    0.311    0.000    0.464    0.000 general_utils.py:323(all_ancestors)
      218    0.295    0.001    1.355    0.006 group.py:1605(_setup_var_data)
   675018    0.276    0.000    0.276    0.000 group.py:365(<genexpr>)
        1    0.271    0.271    0.271    0.271 {method 'gather' of 'mpi4py.MPI.Comm' objects}
   576864    0.259    0.000    0.427    0.000 system.py:2474(_unscaled_context)
   685900    0.255    0.000   15.462    0.000 contextlib.py:132(__enter__)
   308081    0.253    0.000    0.534    0.000 group.py:982(all_connected_nodes)
        1    0.252    0.252    1.626    1.626 group.py:1297(_get_all_promotes)
   127149    0.252    0.000    0.528    0.000 group.py:320(_get_matvec_scope)
   743490    0.241    0.000    0.829    0.000 default_vector.py:440(asarray)
     4200    0.220    0.000    1.571    0.000 eval_mtx.py:14(_compute_finite_vortex)
