         33908644 function calls (33620143 primitive calls) in 300.736 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   241758   60.719    0.000   60.719    0.000 {method 'union' of 'frozenset' objects}
   115976   40.013    0.000   40.044    0.000 default_vector.py:424(_scale_reverse)
   115976   37.009    0.000   37.057    0.000 default_vector.py:408(_scale_forward)
    216/1   31.653    0.147   32.273   32.273 group.py:2031(_setup_global_connections)
35931/718   23.330    0.001  212.637    0.296 linear_block_gs.py:75(_single_iteration)
   390884   20.777    0.000   23.408    0.000 dictionary_jacobian.py:63(_apply)
   696347   16.856    0.000   16.856    0.000 default_vector.py:353(set_val)
    35931   11.001    0.000   11.019    0.000 solver.py:1101(_update_rhs_vec)
     9254   10.276    0.001   10.276    0.001 {method 'scatter' of 'petsc4py.PETSc.Scatter' objects}
35931/718    7.164    0.000  214.481    0.299 linear_runonce.py:21(solve)
   234689    4.268    0.000    4.268    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
       25    3.720    0.149    7.971    0.319 pseudospectral_timeseries_output_comp.py:98(_add_output_configure)
   133771    2.417    0.000    4.682    0.000 default_transfer.py:247(_transfer)
     7200    1.529    0.000   25.406    0.004 {method 'solve' of 'petsc4py.PETSc.KSP' objects}
      216    1.260    0.006    1.261    0.006 group.py:2000(_compute_owning_ranks)
73860/14772    1.201    0.000   28.496    0.002 group.py:3260(_apply_linear)
   781768    1.161    0.000    2.250    0.000 system.py:2535(_matvec_context)
       70    1.136    0.016    1.137    0.016 {method 'allgather' of 'mpi4py.MPI.Comm' objects}
       38    1.067    0.028    1.146    0.030 system.py:3749(get_io_metadata)
   360596    1.044    0.000   26.661    0.000 explicitcomponent.py:364(_apply_linear)
    35141    0.847    0.000    0.847    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
      161    0.805    0.005    0.806    0.005 {method 'bcast' of 'mpi4py.MPI.Comm' objects}
   258260    0.804    0.000   67.591    0.000 group.py:2665(_transfer)
  2254740    0.801    0.000    0.801    0.000 vector.py:371(_abs_get_val)
    18907    0.681    0.000    0.681    0.000 {method 'copy' of 'numpy.ndarray' objects}
   695980    0.624    0.000    0.736    0.000 contextlib.py:104(__init__)
   167840    0.606    0.000    0.688    0.000 default_vector.py:307(__imul__)
        1    0.584    0.584    8.555    8.555 transcription_base.py:417(configure_timeseries_outputs)
  1192450    0.577    0.000    0.744    0.000 group.py:4363(_solver_subsystem_iter)
    53863    0.491    0.000    0.491    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   454195    0.445    0.000    0.929    0.000 {method 'update' of 'set' objects}
