         33977354 function calls (33688349 primitive calls) in 300.755 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   243102   54.579    0.000   54.579    0.000 {method 'union' of 'frozenset' objects}
   116816   38.138    0.000   38.169    0.000 default_vector.py:424(_scale_reverse)
   116816   35.164    0.000   35.208    0.000 default_vector.py:408(_scale_forward)
    216/1   30.585    0.142   31.821   31.821 group.py:2031(_setup_global_connections)
     9254   24.970    0.003   24.970    0.003 {method 'scatter' of 'petsc4py.PETSc.Scatter' objects}
36071/718   20.808    0.001  212.907    0.297 linear_block_gs.py:75(_single_iteration)
   392116   20.316    0.000   22.890    0.000 dictionary_jacobian.py:63(_apply)
   699147   16.577    0.000   16.577    0.000 default_vector.py:353(set_val)
    36071   11.098    0.000   11.115    0.000 solver.py:1101(_update_rhs_vec)
36071/718    6.363    0.000  214.727    0.299 linear_runonce.py:21(solve)
   234689    4.262    0.000    4.262    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
       25    3.737    0.149    7.981    0.319 pseudospectral_timeseries_output_comp.py:98(_add_output_configure)
   134499    2.309    0.000    4.488    0.000 default_transfer.py:247(_transfer)
       70    1.704    0.024    1.705    0.024 {method 'allgather' of 'mpi4py.MPI.Comm' objects}
     7200    1.462    0.000   24.386    0.003 {method 'solve' of 'petsc4py.PETSc.KSP' objects}
      216    1.264    0.006    1.265    0.006 group.py:2000(_compute_owning_ranks)
   784232    1.106    0.000    2.103    0.000 system.py:2535(_matvec_context)
74000/14800    1.085    0.000   27.268    0.002 group.py:3260(_apply_linear)
       38    1.073    0.028    1.140    0.030 system.py:3749(get_io_metadata)
   361716    0.919    0.000   25.912    0.000 explicitcomponent.py:364(_apply_linear)
    35141    0.844    0.000    0.844    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
      161    0.805    0.005    0.805    0.005 {method 'bcast' of 'mpi4py.MPI.Comm' objects}
  2261068    0.801    0.000    0.801    0.000 vector.py:371(_abs_get_val)
   259156    0.765    0.000   78.590    0.000 group.py:2665(_transfer)
    18907    0.660    0.000    0.660    0.000 {method 'copy' of 'numpy.ndarray' objects}
   698500    0.606    0.000    0.716    0.000 contextlib.py:104(__init__)
        1    0.591    0.591    8.572    8.572 transcription_base.py:417(configure_timeseries_outputs)
   169072    0.571    0.000    0.651    0.000 default_vector.py:307(__imul__)
        1    0.531    0.531    0.531    0.531 {method 'gather' of 'mpi4py.MPI.Comm' objects}
  1195138    0.521    0.000    0.683    0.000 group.py:4363(_solver_subsystem_iter)
    53891    0.494    0.000    0.494    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   698500    0.458    0.000   14.186    0.000 contextlib.py:141(__exit__)
        1    0.458    0.458    2.259    2.259 group.py:786(get_relevant_vars)
    14483    0.433    0.000    0.469    0.000 {method 'createWithArray' of 'petsc4py.PETSc.Vec' objects}
     8536    0.431    0.000   25.391    0.003 petsc_transfer.py:224(_transfer)
   454195    0.422    0.000    0.918    0.000 {method 'update' of 'set' objects}
   698500    0.397    0.000    1.113    0.000 contextlib.py:284(helper)
  1397080    0.395    0.000   28.519    0.000 {built-in method builtins.next}
     7600    0.394    0.000   21.271    0.003 petsc_ksp.py:265(mult)
    88936    0.392    0.000    0.421    0.000 default_vector.py:265(__iadd__)
     6288    0.329    0.000    0.344    0.000 default_vector.py:188(_initialize_views)
    10802    0.329    0.000    0.679    0.000 numeric.py:1468(cross)
      218    0.324    0.001    0.575    0.003 group.py:1915(_find_vars_to_gather)
  1078412    0.318    0.000    0.473    0.000 general_utils.py:323(all_ancestors)
   624652    0.304    0.000    0.304    0.000 {method 'intersection' of 'frozenset' objects}
   302805    0.300    0.000    0.300    0.000 {method 'dot' of 'numpy.ndarray' objects}
      218    0.298    0.001    1.359    0.006 group.py:1605(_setup_var_data)
   675018    0.282    0.000    0.282    0.000 group.py:365(<genexpr>)
   698500    0.263    0.000   15.055    0.000 contextlib.py:132(__enter__)
   308081    0.257    0.000    0.542    0.000 group.py:982(all_connected_nodes)
   768830    0.237    0.000    0.810    0.000 default_vector.py:440(asarray)
        1    0.234    0.234    1.867    1.867 group.py:1297(_get_all_promotes)
   589184    0.227    0.000    0.388    0.000 system.py:2474(_unscaled_context)
   131069    0.225    0.000    0.507    0.000 group.py:320(_get_matvec_scope)
     4200    0.218    0.000    1.561    0.000 eval_mtx.py:14(_compute_finite_vortex)
   712774    0.206    0.000    0.255    0.000 reportviews.py:188(__getitem__)
    28399    0.180    0.000    0.184    0.000 digraph.py:420(add_node)
   246938    0.173    0.000   54.752    0.000 solver.py:1124(_vars_union)
    11442    0.164    0.000    0.845    0.000 vector_algebra.py:92(compute_norm)
   633390    0.153    0.000    0.153    0.000 group.py:54(__iter__)
  1346377    0.146    0.000    0.155    0.000 {built-in method builtins.isinstance}
   116816    0.146    0.000   35.354    0.000 default_vector.py:368(scale_to_norm)
798562/797868    0.143    0.000    0.188    0.000 {built-in method builtins.len}
    95127    0.134    0.000    0.134    0.000 options_dictionary.py:527(__getitem__)
   942325    0.134    0.000    0.136    0.000 {built-in method builtins.getattr}
   116816    0.134    0.000   38.302    0.000 default_vector.py:388(scale_to_phys)
   991713    0.126    0.000    0.126    0.000 {method 'join' of 'str' objects}
   282598    0.125    0.000    0.125    0.000 dictionary_jacobian.py:33(_iter_abs_keys)
     7200    0.121    0.000   25.639    0.004 petsc_ksp.py:328(solve)
   231702    0.115    0.000    0.136    0.000 coreviews.py:80(__getitem__)
42871/718    0.114    0.000  214.735    0.299 group.py:3310(_solve_linear)
    42153    0.109    0.000    0.116    0.000 group.py:3242(_iter_call_apply_linear)
    80516    0.107    0.000    0.514    0.000 explicitcomponent.py:437(_solve_linear)
    216/1    0.105    0.000    0.241    0.241 group.py:2477(_setup_connections)
    30400    0.099    0.000    1.282    0.000 implicitcomponent.py:219(_apply_linear)
    16851    0.096    0.000    0.149    0.000 _sputils.py:147(get_index_dtype)
    64840    0.094    0.000    0.133    0.000 numeric.py:1330(normalize_axis_tuple)
      840    0.094    0.000    1.893    0.002 eval_mtx.py:304(compute)
    32412    0.088    0.000    0.262    0.000 numeric.py:1393(moveaxis)
       37    0.082    0.002    0.082    0.002 introspection.py:114(<dictcomp>)
    27827    0.071    0.000    0.087    0.000 numeric.py:136(ones)
   620770    0.067    0.000    0.067    0.000 multiarray.py:892(bincount)
    216/1    0.066    0.000    1.372    1.372 group.py:1956(_setup_var_sizes)
    29204    0.065    0.000    0.066    0.000 {method 'astype' of 'numpy.ndarray' objects}
   237107    0.063    0.000    4.354    0.000 fromnumeric.py:53(_wrapfunc)
   110426    0.061    0.000    0.061    0.000 {method 'update' of 'dict' objects}
      170    0.059    0.000    0.059    0.000 {method 'Allgather' of 'mpi4py.MPI.Comm' objects}
    80556    0.057    0.000    0.227    0.000 default_vector.py:342(set_vec)
     2047    0.057    0.000    0.063    0.000 shape_base.py:1185(tile)
    61818    0.056    0.000    0.065    0.000 digraph.py:643(add_edge)
   643726    0.056    0.000    0.056    0.000 {method 'add' of 'set' objects}
   234675    0.055    0.000    4.396    0.000 fromnumeric.py:1881(nonzero)
      380    0.055    0.000    3.184    0.008 nonlinear_block_gs.py:109(_single_iteration)
   368539    0.054    0.000    0.054    0.000 {method 'rpartition' of 'str' objects}
   231702    0.053    0.000    0.188    0.000 graph.py:489(__getitem__)
      200    0.052    0.000    0.318    0.002 eval_mtx.py:29(_compute_finite_vortex_deriv1)
      200    0.051    0.000    0.317    0.002 eval_mtx.py:52(_compute_finite_vortex_deriv2)
     7600    0.050    0.000    0.081    0.000 petsc_ksp.py:146(__call__)
    43215    0.049    0.000    0.124    0.000 __init__.py:272(_compile)
    43595    0.047    0.000    0.053    0.000 {built-in method builtins.sorted}
   582978    0.047    0.000    0.047    0.000 {method 'partition' of 'str' objects}
      718    0.047    0.000    0.048    0.000 total_jac.py:1288(simple_single_jac_scatter)
      710    0.046    0.000    0.046    0.000 {built-in method scipy.sparse._sparsetools.csr_sort_indices}
   123481    0.046    0.000    0.046    0.000 vector.py:160(__len__)
    33177    0.045    0.000    0.516    0.000 fromnumeric.py:71(_wrapreduction)
    27983    0.044    0.000    0.069    0.000 options_dictionary.py:348(declare)
     8764    0.040    0.000    2.399    0.000 explicitcomponent.py:305(_solve_nonlinear)
   173540    0.039    0.000    0.181    0.000 record_util.py:138(check_path)
        2    0.038    0.019    0.038    0.019 {method 'Split' of 'mpi4py.MPI.Comm' objects}
   231702    0.038    0.000    0.053    0.000 coreviews.py:49(__iter__)
   418475    0.038    0.000    0.038    0.000 general_utils.py:826(match_prom_or_abs)
    33728    0.037    0.000    0.037    0.000 getlimits.py:685(__init__)
      718    0.037    0.000    0.047    0.000 total_jac.py:1313(_jac_setter_dist)
      8/1    0.035    0.004    0.129    0.129 petsc_transfer.py:58(_setup_transfers)
    14301    0.035    0.000    0.035    0.000 default_vector.py:67(__setitem__)
    13403    0.035    0.000    0.039    0.000 recording_iteration_stack.py:139(__init__)
   145536    0.034    0.000    0.034    0.000 {method 'match' of 're.Pattern' objects}
     8000    0.034    0.000    0.034    0.000 {method 'getArray' of 'petsc4py.PETSc.Vec' objects}
   116357    0.033    0.000    0.145    0.000 fnmatch.py:64(fnmatchcase)
     3996    0.033    0.000    0.099    0.000 _compressed.py:136(check_format)
   182242    0.033    0.000    0.033    0.000 group.py:1323(<listcomp>)
     4975    0.032    0.000    0.032    0.000 {method 'intersection' of 'set' objects}
       40    0.030    0.001    0.154    0.004 eval_mtx.py:161(setup)
