         33618032 function calls (33331655 primitive calls) in 300.764 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   236094   53.824    0.000   53.824    0.000 {method 'union' of 'frozenset' objects}
   112436   37.972    0.000   38.002    0.000 default_vector.py:424(_scale_reverse)
   112436   35.123    0.000   35.168    0.000 default_vector.py:408(_scale_forward)
    216/1   31.674    0.147   32.298   32.298 group.py:2031(_setup_global_connections)
     9254   27.065    0.003   27.065    0.003 {method 'scatter' of 'petsc4py.PETSc.Scatter' objects}
35341/718   20.847    0.001  212.928    0.297 linear_block_gs.py:75(_single_iteration)
   385692   19.818    0.000   22.368    0.000 dictionary_jacobian.py:63(_apply)
   684547   16.458    0.000   16.458    0.000 default_vector.py:353(set_val)
    35341   10.941    0.000   10.958    0.000 solver.py:1101(_update_rhs_vec)
35341/718    6.266    0.000  214.734    0.299 linear_runonce.py:21(solve)
   234689    4.257    0.000    4.257    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
       25    3.739    0.150    7.977    0.319 pseudospectral_timeseries_output_comp.py:98(_add_output_configure)
   130703    2.259    0.000    4.399    0.000 default_transfer.py:247(_transfer)
     7200    1.421    0.000   23.398    0.003 {method 'solve' of 'petsc4py.PETSc.KSP' objects}
      216    1.280    0.006    1.281    0.006 group.py:2000(_compute_owning_ranks)
       70    1.156    0.017    1.157    0.017 {method 'allgather' of 'mpi4py.MPI.Comm' objects}
   771384    1.087    0.000    2.079    0.000 system.py:2535(_matvec_context)
       38    1.046    0.028    1.143    0.030 system.py:3749(get_io_metadata)
73270/14654    1.029    0.000   26.893    0.002 group.py:3260(_apply_linear)
   355876    0.946    0.000   25.368    0.000 explicitcomponent.py:364(_apply_linear)
    35141    0.833    0.000    0.833    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
  2228072    0.796    0.000    0.796    0.000 vector.py:371(_abs_get_val)
      161    0.796    0.005    0.796    0.005 {method 'bcast' of 'mpi4py.MPI.Comm' objects}
   254484    0.717    0.000   80.302    0.000 group.py:2665(_transfer)
    18907    0.668    0.000    0.668    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.588    0.588    8.565    8.565 transcription_base.py:417(configure_timeseries_outputs)
   685360    0.585    0.000    0.695    0.000 contextlib.py:104(__init__)
   162648    0.545    0.000    0.625    0.000 default_vector.py:307(__imul__)
  1181122    0.537    0.000    0.693    0.000 group.py:4363(_solver_subsystem_iter)
    53745    0.492    0.000    0.492    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.448    0.448    2.232    2.232 group.py:786(get_relevant_vars)
     8536    0.438    0.000   27.491    0.003 petsc_transfer.py:224(_transfer)
    14483    0.436    0.000    0.469    0.000 {method 'createWithArray' of 'petsc4py.PETSc.Vec' objects}
   454195    0.434    0.000    0.925    0.000 {method 'update' of 'set' objects}
   685360    0.429    0.000   14.027    0.000 contextlib.py:141(__exit__)
     7454    0.396    0.000   20.902    0.003 petsc_ksp.py:265(mult)
  1370800    0.394    0.000   28.571    0.000 {built-in method builtins.next}
    85578    0.387    0.000    0.416    0.000 default_vector.py:265(__iadd__)
   685360    0.383    0.000    1.078    0.000 contextlib.py:284(helper)
    10802    0.330    0.000    0.684    0.000 numeric.py:1468(cross)
     6288    0.326    0.000    0.340    0.000 default_vector.py:188(_initialize_views)
      218    0.324    0.001    0.572    0.003 group.py:1915(_find_vars_to_gather)
  1078412    0.313    0.000    0.465    0.000 general_utils.py:323(all_ancestors)
   614870    0.307    0.000    0.307    0.000 {method 'intersection' of 'frozenset' objects}
   302513    0.305    0.000    0.305    0.000 {method 'dot' of 'numpy.ndarray' objects}
      218    0.298    0.001    1.359    0.006 group.py:1605(_setup_var_data)
   675018    0.284    0.000    0.284    0.000 group.py:365(<genexpr>)
   308081    0.253    0.000    0.534    0.000 group.py:982(all_connected_nodes)
   685360    0.251    0.000   15.225    0.000 contextlib.py:132(__enter__)
        1    0.245    0.245    1.390    1.390 group.py:1297(_get_all_promotes)
   576336    0.244    0.000    0.403    0.000 system.py:2474(_unscaled_context)
   742404    0.234    0.000    0.811    0.000 default_vector.py:440(asarray)
   126981    0.226    0.000    0.510    0.000 group.py:320(_get_matvec_scope)
     4200    0.219    0.000    1.560    0.000 eval_mtx.py:14(_compute_finite_vortex)
   712774    0.203    0.000    0.252    0.000 reportviews.py:188(__getitem__)
    28399    0.181    0.000    0.184    0.000 digraph.py:420(add_node)
   239054    0.175    0.000   53.999    0.000 solver.py:1124(_vars_union)
    11442    0.166    0.000    0.838    0.000 vector_algebra.py:92(compute_norm)
794475/793781    0.148    0.000    0.187    0.000 {built-in method builtins.len}
  1336567    0.147    0.000    0.155    0.000 {built-in method builtins.isinstance}
   112436    0.147    0.000   35.315    0.000 default_vector.py:368(scale_to_norm)
   621564    0.146    0.000    0.146    0.000 group.py:54(__iter__)
    94105    0.137    0.000    0.137    0.000 options_dictionary.py:527(__getitem__)
   929185    0.136    0.000    0.138    0.000 {built-in method builtins.getattr}
   112436    0.132    0.000   38.135    0.000 default_vector.py:388(scale_to_phys)
     7200    0.131    0.000   24.672    0.003 petsc_ksp.py:328(solve)
   276466    0.127    0.000    0.127    0.000 dictionary_jacobian.py:33(_iter_abs_keys)
   991713    0.124    0.000    0.124    0.000 {method 'join' of 'str' objects}
   231702    0.114    0.000    0.134    0.000 coreviews.py:80(__getitem__)
    41569    0.111    0.000    0.117    0.000 group.py:3242(_iter_call_apply_linear)
    216/1    0.107    0.000    0.259    0.259 group.py:2477(_setup_connections)
42287/718    0.107    0.000  214.741    0.299 group.py:3310(_solve_linear)
    77450    0.098    0.000    0.492    0.000 explicitcomponent.py:437(_solve_linear)
    64840    0.095    0.000    0.136    0.000 numeric.py:1330(normalize_axis_tuple)
      840    0.095    0.000    1.891    0.002 eval_mtx.py:304(compute)
    16851    0.093    0.000    0.145    0.000 _sputils.py:147(get_index_dtype)
    32412    0.088    0.000    0.265    0.000 numeric.py:1393(moveaxis)
    29816    0.088    0.000    1.254    0.000 implicitcomponent.py:219(_apply_linear)
       37    0.076    0.002    0.076    0.002 introspection.py:114(<dictcomp>)
    27827    0.069    0.000    0.084    0.000 numeric.py:136(ones)
    216/1    0.066    0.000    1.374    1.374 group.py:1956(_setup_var_sizes)
    29204    0.065    0.000    0.065    0.000 {method 'astype' of 'numpy.ndarray' objects}
   237107    0.064    0.000    4.350    0.000 fromnumeric.py:53(_wrapfunc)
   608652    0.063    0.000    0.063    0.000 multiarray.py:892(bincount)
     2047    0.062    0.000    0.067    0.000 shape_base.py:1185(tile)
   110426    0.059    0.000    0.059    0.000 {method 'update' of 'dict' objects}
    61818    0.057    0.000    0.066    0.000 digraph.py:643(add_edge)
   643727    0.056    0.000    0.056    0.000 {method 'add' of 'set' objects}
    77490    0.055    0.000    0.222    0.000 default_vector.py:342(set_vec)
   234675    0.055    0.000    4.393    0.000 fromnumeric.py:1881(nonzero)
   368539    0.055    0.000    0.055    0.000 {method 'rpartition' of 'str' objects}
      380    0.054    0.000    3.182    0.008 nonlinear_block_gs.py:109(_single_iteration)
   231702    0.053    0.000    0.187    0.000 graph.py:489(__getitem__)
      200    0.051    0.000    0.322    0.002 eval_mtx.py:29(_compute_finite_vortex_deriv1)
      200    0.050    0.000    0.317    0.002 eval_mtx.py:52(_compute_finite_vortex_deriv2)
   582978    0.047    0.000    0.047    0.000 {method 'partition' of 'str' objects}
