         33632614 function calls (33346129 primitive calls) in 300.740 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   236382   62.956    0.000   62.956    0.000 {method 'union' of 'frozenset' objects}
   112616   39.123    0.000   39.152    0.000 default_vector.py:424(_scale_reverse)
   112616   35.754    0.000   35.799    0.000 default_vector.py:408(_scale_forward)
    216/1   29.536    0.137   31.757   31.757 group.py:2031(_setup_global_connections)
35371/718   23.974    0.001  212.551    0.296 linear_block_gs.py:75(_single_iteration)
   385956   20.454    0.000   23.064    0.000 dictionary_jacobian.py:63(_apply)
   685147   16.707    0.000   16.707    0.000 default_vector.py:353(set_val)
    35371   11.161    0.000   11.178    0.000 solver.py:1101(_update_rhs_vec)
     9254    9.889    0.001    9.889    0.001 {method 'scatter' of 'petsc4py.PETSc.Scatter' objects}
35371/718    7.350    0.000  214.405    0.299 linear_runonce.py:21(solve)
   234689    4.268    0.000    4.268    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
       25    3.737    0.149    7.985    0.319 pseudospectral_timeseries_output_comp.py:98(_add_output_configure)
       70    2.660    0.038    2.661    0.038 {method 'allgather' of 'mpi4py.MPI.Comm' objects}
   130859    2.389    0.000    4.617    0.000 default_transfer.py:247(_transfer)
     7200    1.515    0.000   24.763    0.003 {method 'solve' of 'petsc4py.PETSc.KSP' objects}
      216    1.292    0.006    1.292    0.006 group.py:2000(_compute_owning_ranks)
73300/14660    1.245    0.000   28.343    0.002 group.py:3260(_apply_linear)
   771912    1.205    0.000    2.285    0.000 system.py:2535(_matvec_context)
       38    1.091    0.029    1.142    0.030 system.py:3749(get_io_metadata)
   356116    0.979    0.000   26.313    0.000 explicitcomponent.py:364(_apply_linear)
    35141    0.852    0.000    0.852    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
   254676    0.838    0.000   64.947    0.000 group.py:2665(_transfer)
  2229428    0.806    0.000    0.806    0.000 vector.py:371(_abs_get_val)
      161    0.801    0.005    0.802    0.005 {method 'bcast' of 'mpi4py.MPI.Comm' objects}
   162912    0.609    0.000    0.690    0.000 default_vector.py:307(__imul__)
   685900    0.607    0.000    0.717    0.000 contextlib.py:104(__init__)
  1181698    0.598    0.000    0.749    0.000 group.py:4363(_solver_subsystem_iter)
        1    0.585    0.585    8.571    8.571 transcription_base.py:417(configure_timeseries_outputs)
    18907    0.557    0.000    0.557    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.543    0.543    0.543    0.543 {method 'gather' of 'mpi4py.MPI.Comm' objects}
    53751    0.489    0.000    0.489    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.464    0.464    2.267    2.267 group.py:786(get_relevant_vars)
   685900    0.447    0.000   14.176    0.000 contextlib.py:141(__exit__)
   454195    0.432    0.000    0.924    0.000 {method 'update' of 'set' objects}
    85716    0.424    0.000    0.455    0.000 default_vector.py:265(__iadd__)
     8536    0.412    0.000   10.291    0.001 petsc_transfer.py:224(_transfer)
    14483    0.399    0.000    0.430    0.000 {method 'createWithArray' of 'petsc4py.PETSc.Vec' objects}
     7460    0.395    0.000   22.115    0.003 petsc_ksp.py:265(mult)
  1371880    0.393    0.000   29.028    0.000 {built-in method builtins.next}
   685900    0.390    0.000    1.108    0.000 contextlib.py:284(helper)
   615272    0.332    0.000    0.332    0.000 {method 'intersection' of 'frozenset' objects}
    10802    0.331    0.000    0.684    0.000 numeric.py:1468(cross)
     6288    0.330    0.000    0.344    0.000 default_vector.py:188(_initialize_views)
      218    0.325    0.001    0.562    0.003 group.py:1915(_find_vars_to_gather)
  1078412    0.314    0.000    0.466    0.000 general_utils.py:323(all_ancestors)
   302525    0.311    0.000    0.311    0.000 {method 'dot' of 'numpy.ndarray' objects}
      218    0.303    0.001    1.360    0.006 group.py:1605(_setup_var_data)
   675018    0.283    0.000    0.283    0.000 group.py:365(<genexpr>)
   308081    0.260    0.000    0.546    0.000 group.py:982(all_connected_nodes)
   685900    0.259    0.000   15.558    0.000 contextlib.py:132(__enter__)
        1    0.259    0.259    1.930    1.930 group.py:1297(_get_all_promotes)
   576864    0.253    0.000    0.415    0.000 system.py:2474(_unscaled_context)
   743490    0.238    0.000    0.708    0.000 default_vector.py:440(asarray)
   127149    0.237    0.000    0.521    0.000 group.py:320(_get_matvec_scope)
     4200    0.219    0.000    1.573    0.000 eval_mtx.py:14(_compute_finite_vortex)
   712774    0.213    0.000    0.262    0.000 reportviews.py:188(__getitem__)
   239378    0.189    0.000   63.145    0.000 solver.py:1124(_vars_union)
    28399    0.178    0.000    0.182    0.000 digraph.py:420(add_node)
   112616    0.168    0.000   35.967    0.000 default_vector.py:368(scale_to_norm)
    11442    0.166    0.000    0.850    0.000 vector_algebra.py:92(compute_norm)
  1336937    0.151    0.000    0.159    0.000 {built-in method builtins.isinstance}
794642/793948    0.149    0.000    0.194    0.000 {built-in method builtins.len}
    94147    0.143    0.000    0.143    0.000 options_dictionary.py:527(__getitem__)
     7200    0.142    0.000   25.915    0.004 petsc_ksp.py:328(solve)
   622050    0.140    0.000    0.140    0.000 group.py:54(__iter__)
   929725    0.135    0.000    0.138    0.000 {built-in method builtins.getattr}
42311/718    0.135    0.000  214.413    0.299 group.py:3310(_solve_linear)
   112616    0.128    0.000   39.280    0.000 default_vector.py:388(scale_to_phys)
    41593    0.127    0.000    0.134    0.000 group.py:3242(_iter_call_apply_linear)
   276718    0.126    0.000    0.126    0.000 dictionary_jacobian.py:33(_iter_abs_keys)
   991713    0.123    0.000    0.123    0.000 {method 'join' of 'str' objects}
   231702    0.117    0.000    0.138    0.000 coreviews.py:80(__getitem__)
    77576    0.110    0.000    0.525    0.000 explicitcomponent.py:437(_solve_linear)
    216/1    0.105    0.000    0.234    0.234 group.py:2477(_setup_connections)
      840    0.094    0.000    1.909    0.002 eval_mtx.py:304(compute)
    64840    0.094    0.000    0.133    0.000 numeric.py:1330(normalize_axis_tuple)
    16851    0.093    0.000    0.146    0.000 _sputils.py:147(get_index_dtype)
    29840    0.092    0.000    1.272    0.000 implicitcomponent.py:219(_apply_linear)
    32412    0.090    0.000    0.266    0.000 numeric.py:1393(moveaxis)
       37    0.082    0.002    0.082    0.002 introspection.py:114(<dictcomp>)
    27827    0.073    0.000    0.087    0.000 numeric.py:136(ones)
    216/1    0.067    0.000    1.375    1.375 group.py:1956(_setup_var_sizes)
    77616    0.067    0.000    0.235    0.000 default_vector.py:342(set_vec)
    29204    0.064    0.000    0.064    0.000 {method 'astype' of 'numpy.ndarray' objects}
   609150    0.062    0.000    0.062    0.000 multiarray.py:892(bincount)
   237107    0.061    0.000    4.360    0.000 fromnumeric.py:53(_wrapfunc)
   110426    0.061    0.000    0.061    0.000 {method 'update' of 'dict' objects}
     2047    0.060    0.000    0.065    0.000 shape_base.py:1185(tile)
   643726    0.058    0.000    0.058    0.000 {method 'add' of 'set' objects}
    61818    0.057    0.000    0.065    0.000 digraph.py:643(add_edge)
   368539    0.056    0.000    0.056    0.000 {method 'rpartition' of 'str' objects}
   234675    0.055    0.000    4.402    0.000 fromnumeric.py:1881(nonzero)
      200    0.054    0.000    0.323    0.002 eval_mtx.py:29(_compute_finite_vortex_deriv1)
   231702    0.053    0.000    0.191    0.000 graph.py:489(__getitem__)
      380    0.052    0.000    3.207    0.008 nonlinear_block_gs.py:109(_single_iteration)
      200    0.052    0.000    0.319    0.002 eval_mtx.py:52(_compute_finite_vortex_deriv2)
    43215    0.050    0.000    0.125    0.000 __init__.py:272(_compile)
    43595    0.049    0.000    0.054    0.000 {built-in method builtins.sorted}
   582978    0.048    0.000    0.048    0.000 {method 'partition' of 'str' objects}
      718    0.047    0.000    0.048    0.000 total_jac.py:1288(simple_single_jac_scatter)
    33177    0.046    0.000    0.514    0.000 fromnumeric.py:71(_wrapreduction)
   119701    0.045    0.000    0.045    0.000 vector.py:160(__len__)
    27983    0.042    0.000    0.066    0.000 options_dictionary.py:348(declare)
   182242    0.042    0.000    0.042    0.000 group.py:1323(<listcomp>)
      710    0.042    0.000    0.042    0.000 {built-in method scipy.sparse._sparsetools.csr_sort_indices}
     8764    0.042    0.000    2.418    0.000 explicitcomponent.py:305(_solve_nonlinear)
   173540    0.039    0.000    0.182    0.000 record_util.py:138(check_path)
   418475    0.038    0.000    0.038    0.000 general_utils.py:826(match_prom_or_abs)
      718    0.037    0.000    0.048    0.000 total_jac.py:1313(_jac_setter_dist)
   231702    0.037    0.000    0.051    0.000 coreviews.py:49(__iter__)
     7460    0.037    0.000    0.077    0.000 petsc_ksp.py:146(__call__)
    33728    0.036    0.000    0.036    0.000 getlimits.py:685(__init__)
      8/1    0.035    0.004    0.130    0.130 petsc_transfer.py:58(_setup_transfers)
    13403    0.034    0.000    0.038    0.000 recording_iteration_stack.py:139(__init__)
    14021    0.034    0.000    0.034    0.000 default_vector.py:67(__setitem__)
   116357    0.034    0.000    0.146    0.000 fnmatch.py:64(fnmatchcase)
   145536    0.033    0.000    0.033    0.000 {method 'match' of 're.Pattern' objects}
     3996    0.033    0.000    0.097    0.000 _compressed.py:136(check_format)
       40    0.032    0.001    0.150    0.004 eval_mtx.py:161(setup)
     4975    0.031    0.000    0.031    0.000 {method 'intersection' of 'set' objects}
     5479    0.031    0.000    0.034    0.000 numeric.py:67(zeros_like)
     3624    0.031    0.000    0.031    0.000 component.py:1529(_check_partials_meta)
      718    0.031    0.000    3.765    0.005 total_jac.py:1142(single_input_setter)
     7720    0.029    0.000    0.029    0.000 {method 'getArray' of 'petsc4py.PETSc.Vec' objects}
    40068    0.028    0.000    0.028    0.000 {built-in method numpy.array}
     2876    0.028    0.000    0.114    0.000 component.py:1354(_declare_partials)
      400    0.028    0.000    0.028    0.000 {built-in method scipy.sparse.linalg._dsolve._superlu.gstrf}
     8804    0.027    0.000    2.392    0.000 explicitcomponent.py:262(_compute_wrapper)
        1    0.027    0.027  245.226  245.226 total_jac.py:1511(compute_totals)
     2800    0.027    0.000    0.077    0.000 _coo.py:266(_check)
   223882    0.027    0.000    0.027    0.000 group.py:1325(<genexpr>)
   109808    0.026    0.000    0.026    0.000 {method 'split' of 'str' objects}
     1187    0.026    0.000    0.070    0.000 system.py:411(__init__)
    18009    0.026    0.000    0.500    0.000 fromnumeric.py:2177(sum)
    35111    0.025    0.000    0.025    0.000 solver.py:1209(_set_matvec_scope)
    11705    0.025    0.000    0.025    0.000 {built-in method numpy.arange}
     2775    0.025    0.000    0.025    0.000 {built-in method scipy.sparse._sparsetools.coo_tocsr}
     6360    0.025    0.000    0.366    0.000 vector_algebra.py:12(compute_dot)
    13403    0.024    0.000    0.055    0.000 recording_iteration_stack.py:164(__exit__)
      400    0.023    0.000    0.064    0.000 geometry.py:117(compute)
     1520    0.023    0.000   25.909    0.017 system.py:2510(_scaled_context_all)
     7860    0.023    0.000    0.041    0.000 solver.py:339(_mpi_print)
    14632    0.023    0.000    0.031    0.000 <frozen importlib._bootstrap>:1209(_handle_fromlist)
        1    0.022    0.022    0.636    0.636 introspection.py:747(configure_timeseries_output_introspection)
   205323    0.022    0.000    0.022    0.000 {method 'extend' of 'list' objects}
   254078    0.021    0.000    0.021    0.000 explicitcomponent.py:578(is_explicit)
    47956    0.021    0.000    0.021    0.000 default_vector.py:43(__getitem__)
   231704    0.021    0.000    0.021    0.000 coreviews.py:43(__init__)
        1    0.020    0.020    9.756    9.756 phase.py:1792(configure)
    19689    0.020    0.000    0.098    0.000 units.py:854(_find_unit)
   2095/1    0.020    0.000    4.083    4.083 solver.py:790(_gs_iter)
    15481    0.020    0.000    0.020    0.000 {built-in method numpy.zeros}
   370485    0.020    0.000    0.020    0.000 {method 'append' of 'list' objects}
   196460    0.020    0.000    0.020    0.000 group.py:2208(<genexpr>)
       51    0.020    0.000    0.020    0.000 {method 'create' of 'petsc4py.PETSc.Scatter' objects}
   175728    0.019    0.000    0.019    0.000 einsumfunc.py:1001(_einsum_dispatcher)
        2    0.019    0.010    0.019    0.010 {method 'Split' of 'mpi4py.MPI.Comm' objects}
     1680    0.019    0.000    0.212    0.000 eval_mtx.py:75(_compute_semi_infinite_vortex)
      170    0.019    0.000    0.019    0.000 {method 'Allgather' of 'mpi4py.MPI.Comm' objects}
      194    0.019    0.000    0.039    0.000 {built-in method _collections._count_elements}
        1    0.019    0.019    0.074    0.074 group.py:1390(_top_level_post_sizes)
      452    0.019    0.000    0.080    0.000 solver.py:316(<listcomp>)
        1    0.019    0.019    0.031    0.031 group.py:374(_compute_root_scale_factors)
     2224    0.019    0.000    0.277    0.000 _coo.py:331(tocsc)
    48515    0.018    0.000    0.018    0.000 {built-in method numpy.empty}
     2876    0.018    0.000    0.371    0.000 component.py:1014(declare_partials)
2800/2750    0.018    0.000    0.169    0.000 _coo.py:127(__init__)
    33177    0.018    0.000    0.018    0.000 fromnumeric.py:72(<dictcomp>)
      400    0.018    0.000    0.064    0.000 load_transfer.py:118(compute)
    216/1    0.017    0.000   11.209   11.209 group.py:479(_configure)
     3663    0.017    0.000    0.085    0.000 component.py:466(add_input)
    64840    0.017    0.000    0.026    0.000 numeric.py:1380(<listcomp>)
     7122    0.017    0.000    0.030    0.000 _sputils.py:295(check_shape)
     4946    0.016    0.000    0.034    0.000 _compressed.py:1168(prune)
        1    0.016    0.016    0.016    0.016 system.py:2038(_setup_global_shapes)
96896/8611    0.016    0.000    0.016    0.000 system.py:2825(system_iter)
  460/231    0.016    0.000    0.038    0.000 _parser.py:507(_parse)
      400    0.016    0.000    0.019    0.000 collocation_points.py:126(compute)
3996/3712    0.016    0.000    0.188    0.000 _compressed.py:26(__init__)
     4916    0.015    0.000    0.018    0.000 vector.py:581(set_var)
       40    0.015    0.000    0.713    0.018 eval_mtx.py:400(compute_partials)
   234675    0.015    0.000    0.015    0.000 fromnumeric.py:1877(_nonzero_dispatcher)
       20    0.015    0.001    0.071    0.004 vonmises_tube.py:105(compute_partials)
    35141    0.015    0.000    0.867    0.000 einsumfunc.py:1009(einsum)
        1    0.015    0.015    1.982    1.982 group.py:1354(_top_level_post_connections)
    78096    0.015    0.000    0.015    0.000 system.py:4486(_iter_call_apply_linear)
     6282    0.014    0.000    0.020    0.000 default_vector.py:119(_extract_root_data)
   231774    0.014    0.000    0.014    0.000 {built-in method builtins.iter}
      120    0.014    0.000    0.015    0.000 function_base.py:5172(delete)
     5359    0.014    0.000    0.014    0.000 {method 'flatten' of 'numpy.ndarray' objects}
      260    0.014    0.000    1.056    0.004 petsc_ksp.py:382(apply)
        1    0.014    0.014    2.362    2.362 group.py:760(_init_relevance)
   245776    0.013    0.000    0.013    0.000 {method 'pop' of 'list' objects}
    43743    0.013    0.000    0.013    0.000 {method 'values' of 'dict' objects}
     6288    0.013    0.000    0.552    0.000 vector.py:98(__init__)
   208/23    0.013    0.000    0.034    0.001 default_transfer.py:40(_setup_transfers)
    97290    0.013    0.000    0.013    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
    29207    0.013    0.000    0.014    0.000 options_dictionary.py:247(_assert_valid)
     7200    0.013    0.000    0.013    0.000 {method 'setTolerances' of 'petsc4py.PETSc.KSP' objects}
    11307    0.013    0.000    0.017    0.000 system.py:4607(record_iteration)
      800    0.013    0.000    0.062    0.000 get_vectors.py:85(compute)
      400    0.012    0.000    0.018    0.000 wing_weight_loads.py:173(compute)
