         33977524 function calls (33688519 primitive calls) in 300.760 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   243102   52.727    0.000   52.727    0.000 {method 'union' of 'frozenset' objects}
   116816   35.806    0.000   35.840    0.000 default_vector.py:424(_scale_reverse)
   116816   33.572    0.000   33.616    0.000 default_vector.py:408(_scale_forward)
     9254   31.744    0.003   31.744    0.003 {method 'scatter' of 'petsc4py.PETSc.Scatter' objects}
    216/1   30.177    0.140   31.663   31.663 group.py:2031(_setup_global_connections)
   392116   20.435    0.000   23.026    0.000 dictionary_jacobian.py:63(_apply)
36071/718   20.245    0.001  213.478    0.297 linear_block_gs.py:75(_single_iteration)
   699147   16.408    0.000   16.408    0.000 default_vector.py:353(set_val)
    36071   11.016    0.000   11.035    0.000 solver.py:1101(_update_rhs_vec)
36071/718    6.348    0.000  215.227    0.300 linear_runonce.py:21(solve)
   234689    4.265    0.000    4.265    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
       25    3.746    0.150    7.993    0.320 pseudospectral_timeseries_output_comp.py:98(_add_output_configure)
   134499    2.351    0.000    4.535    0.000 default_transfer.py:247(_transfer)
       70    2.000    0.029    2.001    0.029 {method 'allgather' of 'mpi4py.MPI.Comm' objects}
     7200    1.450    0.000   24.368    0.003 {method 'solve' of 'petsc4py.PETSc.KSP' objects}
      216    1.264    0.006    1.264    0.006 group.py:2000(_compute_owning_ranks)
   784232    1.092    0.000    2.112    0.000 system.py:2535(_matvec_context)
       38    1.039    0.027    1.153    0.030 system.py:3749(get_io_metadata)
74000/14800    1.001    0.000   27.293    0.002 group.py:3260(_apply_linear)
   361716    0.939    0.000   26.033    0.000 explicitcomponent.py:364(_apply_linear)
    35141    0.849    0.000    0.849    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
  2261068    0.807    0.000    0.807    0.000 vector.py:371(_abs_get_val)
      161    0.803    0.005    0.803    0.005 {method 'bcast' of 'mpi4py.MPI.Comm' objects}
   259156    0.712    0.000   81.849    0.000 group.py:2665(_transfer)
        1    0.685    0.685    0.685    0.685 {method 'gather' of 'mpi4py.MPI.Comm' objects}
   698500    0.600    0.000    0.701    0.000 contextlib.py:104(__init__)
        1    0.583    0.583    8.576    8.576 transcription_base.py:417(configure_timeseries_outputs)
   169072    0.566    0.000    0.650    0.000 default_vector.py:307(__imul__)
  1195138    0.528    0.000    0.688    0.000 group.py:4363(_solver_subsystem_iter)
    18907    0.503    0.000    0.503    0.000 {method 'copy' of 'numpy.ndarray' objects}
    53891    0.494    0.000    0.494    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   698500    0.451    0.000   13.834    0.000 contextlib.py:141(__exit__)
        1    0.450    0.450    2.208    2.208 group.py:786(get_relevant_vars)
    14483    0.438    0.000    0.469    0.000 {method 'createWithArray' of 'petsc4py.PETSc.Vec' objects}
     8536    0.421    0.000   32.153    0.004 petsc_transfer.py:224(_transfer)
   454195    0.403    0.000    0.884    0.000 {method 'update' of 'set' objects}
  1397080    0.400    0.000   28.149    0.000 {built-in method builtins.next}
     7600    0.398    0.000   21.318    0.003 petsc_ksp.py:265(mult)
    88936    0.385    0.000    0.413    0.000 default_vector.py:265(__iadd__)
   698500    0.377    0.000    1.078    0.000 contextlib.py:284(helper)
    10802    0.331    0.000    0.684    0.000 numeric.py:1468(cross)
     6288    0.327    0.000    0.341    0.000 default_vector.py:188(_initialize_views)
      218    0.323    0.001    0.578    0.003 group.py:1915(_find_vars_to_gather)
  1078412    0.306    0.000    0.456    0.000 general_utils.py:323(all_ancestors)
   624652    0.299    0.000    0.299    0.000 {method 'intersection' of 'frozenset' objects}
   302805    0.298    0.000    0.298    0.000 {method 'dot' of 'numpy.ndarray' objects}
   675018    0.296    0.000    0.296    0.000 group.py:365(<genexpr>)
      218    0.295    0.001    1.358    0.006 group.py:1605(_setup_var_data)
   698500    0.256    0.000   15.021    0.000 contextlib.py:132(__enter__)
   308081    0.253    0.000    0.532    0.000 group.py:982(all_connected_nodes)
        1    0.245    0.245    2.029    2.029 group.py:1297(_get_all_promotes)
   589184    0.242    0.000    0.401    0.000 system.py:2474(_unscaled_context)
   768830    0.240    0.000    0.654    0.000 default_vector.py:440(asarray)
   131069    0.231    0.000    0.527    0.000 group.py:320(_get_matvec_scope)
     4200    0.218    0.000    1.568    0.000 eval_mtx.py:14(_compute_finite_vortex)
   712774    0.203    0.000    0.253    0.000 reportviews.py:188(__getitem__)
    28399    0.175    0.000    0.179    0.000 digraph.py:420(add_node)
   246938    0.173    0.000   52.900    0.000 solver.py:1124(_vars_union)
    11442    0.165    0.000    0.850    0.000 vector_algebra.py:92(compute_norm)
   633390    0.150    0.000    0.150    0.000 group.py:54(__iter__)
798562/797868    0.150    0.000    0.196    0.000 {built-in method builtins.len}
  1346407    0.149    0.000    0.157    0.000 {built-in method builtins.isinstance}
   116816    0.147    0.000   33.763    0.000 default_vector.py:368(scale_to_norm)
    95127    0.135    0.000    0.135    0.000 options_dictionary.py:527(__getitem__)
   116816    0.135    0.000   35.975    0.000 default_vector.py:388(scale_to_phys)
   282598    0.132    0.000    0.132    0.000 dictionary_jacobian.py:33(_iter_abs_keys)
     7200    0.129    0.000   25.458    0.004 petsc_ksp.py:328(solve)
   942325    0.125    0.000    0.127    0.000 {built-in method builtins.getattr}
   991713    0.122    0.000    0.122    0.000 {method 'join' of 'str' objects}
   231702    0.112    0.000    0.132    0.000 coreviews.py:80(__getitem__)
    30400    0.105    0.000    1.293    0.000 implicitcomponent.py:219(_apply_linear)
42871/718    0.104    0.000  215.233    0.300 group.py:3310(_solve_linear)
    216/1    0.103    0.000    0.284    0.284 group.py:2477(_setup_connections)
    42153    0.097    0.000    0.103    0.000 group.py:3242(_iter_call_apply_linear)
    80516    0.097    0.000    0.496    0.000 explicitcomponent.py:437(_solve_linear)
    64840    0.095    0.000    0.135    0.000 numeric.py:1330(normalize_axis_tuple)
      840    0.094    0.000    1.903    0.002 eval_mtx.py:304(compute)
    16851    0.092    0.000    0.145    0.000 _sputils.py:147(get_index_dtype)
    32412    0.089    0.000    0.265    0.000 numeric.py:1393(moveaxis)
    27827    0.072    0.000    0.087    0.000 numeric.py:136(ones)
       37    0.068    0.002    0.068    0.002 introspection.py:114(<dictcomp>)
    216/1    0.067    0.000    1.371    1.371 group.py:1956(_setup_var_sizes)
   620770    0.067    0.000    0.067    0.000 multiarray.py:892(bincount)
    29204    0.065    0.000    0.065    0.000 {method 'astype' of 'numpy.ndarray' objects}
      170    0.062    0.000    0.062    0.000 {method 'Allgather' of 'mpi4py.MPI.Comm' objects}
   237107    0.062    0.000    4.357    0.000 fromnumeric.py:53(_wrapfunc)
     2047    0.061    0.000    0.066    0.000 shape_base.py:1185(tile)
   110426    0.059    0.000    0.059    0.000 {method 'update' of 'dict' objects}
       17    0.059    0.003    0.059    0.003 {method 'allreduce' of 'mpi4py.MPI.Comm' objects}
   643726    0.056    0.000    0.056    0.000 {method 'add' of 'set' objects}
    80556    0.056    0.000    0.224    0.000 default_vector.py:342(set_vec)
    61818    0.056    0.000    0.065    0.000 digraph.py:643(add_edge)
   368539    0.055    0.000    0.055    0.000 {method 'rpartition' of 'str' objects}
   234675    0.053    0.000    4.398    0.000 fromnumeric.py:1881(nonzero)
